0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
WOLVERINE/LOGAN ,CAPTAIN AMERICA,SPIDER-MAN/PETER PAR,HULK/DR. ROBERT BRUC,THING/BENJAMIN J. GR,SILVER SURFER/NORRIN,NOVA/RICHARD RIDER,THOR/DR. DONALD BLAK,QUASAR III/WENDELL V,PATRIOT/JEFF MACE,"FURY, COL. NICHOLAS ",HAVOK/ALEX SUMMERS ,"MASON, LOUISE",CHI-CHEE,"LUDLUM, ROSS",PANTHER CUB/,DR. MIDAS/,STEEL SPIDER/OLLIE O
BEAST/HENRY &HANK& P,IRON MAN/TONY STARK ,"JAMESON, J. JONAH",DR. STRANGE/STEPHEN ,HUMAN TORCH/JOHNNY S,MOONDRAGON/HEATHER D,FIRESTAR/ANGELICA JO,ODIN [ASGARDIAN],SERSI/SYLVIA,MISS AMERICA/MADELIN,"DUGAN, TIMOTHY ALOYI",BLOODSTORM | MUTANT ,"ARCHER, ULYSSES SAMS",HOPE,ORWELL,STERLING,MARVEL BOY VIII/NOH-,MASTER OF VENGEANCE
CYCLOPS/SCOTT SUMMER,SCARLET WITCH/WANDA ,"WATSON-PARKER, MARY ","JONES, RICHARD MILHO",MR. FANTASTIC/REED R,SASQUATCH/WALTER LAN,NAMORITA/NITA PRENTI,BALDER [ASGARDIAN],MEPHISTO,"CAGE, LUKE/CARL LUCA",KA-ZAR/KEVIN PLUNDER,BRUTE | MUTANT X-VER,"O'CONNELL, TARYN",MAINSPRING,"ASHER, MICHAEL",MISS THING/MARY,PLEX INTELLIGENCE,
STORM/ORORO MUNROE S,VISION ,DAREDEVIL/MATT MURDO,"NORRISS, SISTER BARB",INVISIBLE WOMAN/SUE ,"HUDSON, HEATHER",JUSTICE II/VANCE AST,HOGUN [ASGARDIAN],MAKKARI/MIKE KHARY/I,IRON FIST/DANIEL RAN,ZABU,ICE-MAN | MUTANT X-V,WIDE LOAD ANNIE/ANNI,PSIREN,FAGIN,AMAZO-MAXI-WOMAN/,CAPTAIN GLORY,
COLOSSUS II/PETER RA,HAWK,BLACK PANTHER/T'CHAL,"BANNER, BETTY ROSS T",SUB-MARINER/NAMOR MA,PUCK/EUGENE MILTON J,SPEEDBALL/ROBBIE BAL,FANDRAL [ASGARDIAN],THENA,HUMAN TORCH ANDROID/,"DE LA FONTAINE, CONT",WAR/ABRAHAM LINCOLN ,POPPA WHEELER,PSIMON,HOFFMAN,"DARLEGUNG, GEN.",MERREE,
PROFESSOR X/CHARLES ,WASP/JANET VAN DYNE ,"ROBERTSON, JOE",HELLCAT/PATSY WALKER,CRYSTAL [INHUMAN],GALACTUS/GALAN,MOON KNIGHT/MARC SPE,SIF,IKARIS/IKE HARRIS [E,"KNIGHT, MISTY","JONES, GABE","SUMMERS, SCOTT III |",RETREAD,SCENE STEALER,OSWALD,SWORDSMAN IV/,OUBLIETTE/,
MARVEL GIRL/JEAN GRE,ANT-MAN/DR. HENRY J.,"PARKER, MAY","ROSS, GEN. THADDEUS ","RICHARDS, FRANKLIN B",SHAMAN/MICHAEL TWOYO,NIGHT THRASHER/DUANE,THUNDERSTRIKE/ERIC K,HYPERION,BUCKY/BUCKY BARNES,DEATHLOK III/MICHAEL,FALLEN | MUTANT X-VE,RAZORBACK/,FIELDER,"ASHER, CARL",MANT/ERNEST,,
ANGEL/WARREN KENNETH,WONDER MAN/SIMON WIL,"LEEDS, BETTY BRANT",WONG,DR. DOOM/VICTOR VON ,NORTHSTAR/JEAN-PAUL ,GEE/ALEX POWER,VOLSTAGG,DEATH,"WING, COLLEEN","PIERCE, ALEXANDER GO",ELEKTRA | MUTANT X-V,"MCGRILL, MARY",KARMA 2013,"ASHER, DONNA",,,
ICEMAN/ROBERT BOBBY ,SHE-HULK/JENNIFER WA,"THOMPSON, EUGENE FLA",NIGHTHAWK II/KYLE RI,MEDUSA/MEDUSALITH AM,AURORA/JEANNE-MARIE ,RAGE/ELVIN DARYL HAL,LOKI [ASGARDIAN],DR. SPECTRUM/JOSEPH ,SHANG-CHI,"NEVILLE, KATE",CAPTAIN AMERICA | MU,SPRAGG,TANGERINE 2013,"NILES, SEN. CATHERIN",,,
NIGHTCRAWLER/KURT WA,HERCULES [GREEK GOD],KINGPIN/WILSON FISK,DOC SAMSON/DR. LEONA,BLACK BOLT/BLACKANTO,STRONG GUY/GUIDO CAR,DAGGER/TANDY BOWEN,ENCHANTRESS/AMORA/HE,WHIZZER II/STANLEY S,WHIZZER/ROBERT L. FR,SLEEPWALKER,MAGNETO | MUTANT X-V,XEMNU,PSYLOCKE 2013,,,,
ROGUE /,QUICKSILVER/PIETRO M,"NELSON, FRANKLIN FOG",CLEA,GORGON [INHUMAN],THANOS,CLOAK/TYRONE JOHNSON,HEIMDALL [ASGARDIAN],FORGOTTEN ONE/GILGAM,TORO/TOM RAYMOND,"MACKENZIE, AL",GAMBIT | MUTANT X-VE,"WILCOX, DR. BRENT",DOUGLOCK 2013,,,,
SHADOWCAT/KATHERINE ,"JARVIS, EDWIN ","OSBORN, HARRY",GARGOYLE II/ISAAC CH,KARNAK [INHUMAN],LIVING LIGHTNING/MIG,SILHOUETTE,DARKHAWK/CHRIS POWEL,ZEUS,"TARR, BLACK JACK",NETWORK NINA,MARVEL WOMAN | MUTAN,CRITIC,WOLFSBANE 2013,,,,
CANNONBALL II/SAM GU,BLACK WIDOW/NATASHA ,"URICH, BEN",SNOWBIRD/NARYA/ANNE ,"MASTERS, ALICIA REIS",DR. DRUID/ANTHONY LU,COUNTERWEIGHT II/KAT,"KINCAID, DR. JANE FO",ARCANNA/ARCANNA JONE,"WU, LEIKO","PLUNDER, ADAM KYLE M","RICHARDS, REED | MUT",TERROR/LASLO PEVELY,MEGGAN 2013,,,,
PSYLOCKE/ELISABETH B,BLACK KNIGHT V/DANE ,PUNISHER II/FRANK CA,GHOST RIDER II/JOHNN,TRITON,PHARAOH RAMA-TUT,LIGHTSPEED/JULIE POW,VIZIER,"BALLANTINE, KAYLA","RESTON, CLIVE","BROWN, LAURA","GREY, JEAN | MUTANT ",SITTING BULLSEYE/,"WISDOM, PETE 2013",,,,
